name,format,version_current,python_min,outdated_python_min,optimize_count,optimize_codes,validate_passed,validate_errors,validate_warnings,version_latest,is_outdated,cve_count,cve_ids,error
django-braces,v0,1.16.0,,,0,,,,,,,,,
django-brackets,v0,2024,,,0,,,,,,,,,
django-breeze,v0,1.1.0,,,0,,,,,,,,,
django-browser-reload,v1,1.21.0,3.10,,0,,,,,,,,,
django-cachalot,both,2.8.0,3.10,,0,,,,,,,,,
django-categories,v0,1.9.2,,,0,,,,,,,,,
django-celery-beat,v0,2.5.0,,,0,,,,,,,,,
django-celery-results,both,2.6.0,3.10,,0,,,,,,,,,
django-classy-tags,v0,4.1.0,,,0,,,,,,,,,
django-click,v0,2.3.0,,,0,,,,,,,,,
django-cms,v0,4.1.4,,,0,,,,,,,,,
django-codemirror2,v0,0.2,,,0,,,,,,,,,
django-codemirror6,v0,1.0.1,,,0,,,,,,,,,
django-cogwheels,v0,0.3,,,0,,,,,,,,,
django-colorful,v0,1.3,,,0,,,,,,,,,
django-comments-xtd,v0,2.10.6,,,0,,,,,,,,,
django-compat,v0,1.0.15,,,0,,,,,,,,,
django-components,both,0.146.0,3.10,,0,,,,,,,,,
django-compression-middleware,v1,0.5.0,3.10,,0,,,,,,,,,
django-compressor,v0,4.5.1,3.10,,0,,,,,,,,,
django-configurations,v0,2.4.1,,,0,,,,,,,,,
django-constance,both,4.3.5,3.10,,0,,,,,,,,,
django-cors-headers,v0,4.4.0,,,0,,,,,,,,,
django-countries,v0,7.8,3.10,,0,,,,,,,,,
django-coverage-plugin,v0,3.1.0,,,0,,,,,,,,,
django-crequest,v0,2018.5.11,,,0,,,,,,,,,
django-cryptography,v0,2.2,,,0,,,,,,,,,
django-cryptography-django5,v0,2.2,,,0,,,,,,,,,
django-csp,both,4.0,3.10,,0,,,,,,,,,
django-csvimport,v0,3.2,,,0,,,,,,,,,
django-cte,v0,1.1.4,,,0,,,,,,,,,
django-data-browser,v0,4.2.5,,,0,,,,,,,,,
django-data-exporter,v0,0.2,,,0,,,,,,,,,
django-datatables-view,v0,1.20.0,,,0,,,,,,,,,
django-db-logger,v0,0.1.13,,,0,,,,,,,,,
django-dbbackup,v0,4.0.2,,,0,,,,,,,,,
django-dcat,v0,0.0.9,,,0,,,,,,,,,
django-dynamic-datatb,v0,1.0.25,,,0,,,,,,,,,
django-el-pagination,v0,4.0.0,,,0,,,,,,,,,
django-entangled,v0,0.6.2,,,0,,,,,,,,,
Django-Enterprise-Maintenance-Suite,v1,1.0.1,3.10,,0,,,,,,,,,
django-environ,v0,0.11.0,,,0,,,,,,,,,
django-erp-framework,v0,1.5.2,,,0,,,,,,,,,
django-etc,v0,1.4.0,,,0,,,,,,,,,
django-events-timetable,v0,1.0.2,,,0,,,,,,,,,
django-eventstream,v0,5.0.1,,,0,,,,,,,,,
django-eventtools,v0,1.0.3,,,0,,,,,,,,,
django-excel-to-model,v0,0.1.16,,,0,,,,,,,,,
django-excel-tools,v0,1.1.0,,,0,,,,,,,,,
django-experiments,v0,1.2.0,,,0,,,,,,,,,
django-extra-views,v0,0.14.0,,,0,,,,,,,,,
django-file,v0,1.0.6,,,0,,,,,,,,,
django-file-download,v0,1.0.3,,,0,,,,,,,,,
django-file-md5,v0,1.0.3,,,0,,,,,,,,,
django-file-upload,v0,1.1.6,,,0,,,,,,,,,
django-filer,v0,3.1.1,,,0,,,,,,,,,
django-flags,both,5.1.0,,,0,,,,,,,,,
django-fobi,v0,0.19.9,,,0,,,,,,,,,
django-followit,v0,0.6.0,,,0,,,,,,,,,
django-formtools,v0,2.5.1,,,0,,,,,,,,,
django-foundation-formtags,v0,0.1.0,3.10,,0,,,,,,,,,
django-funky-sheets,v0,0.2.0,,,0,,,,,,,,,
django-grappelli,v0,3.0.9,,,0,,,,,,,,,
django-grip,v0,3.5.0,,,0,,,,,,,,,
django-groups-manager,v0,1.3.0,,,0,,,,,,,,,
django-grpc,v0,1.0.21,,,0,,,,,,,,,
django-grpc-framework,v0,0.3.0,,,0,,,,,,,,,
django-guardian,both,3.2.0,3.10,,0,,,,,,,,,
django-handyhelpers,v0,0.3.37,,,0,,,,,,,,,
django-harlequin,v0,1.1.1,,,0,,,,,,,,,
django-hatchway,v0,0.5.2,,,0,,,,,,,,,
django-haystack,v0,3.3.0,,,0,,,,,,,,,
django-health-check,both,3.22.0,3.10,,0,,,,,,,,,
django-hitcount,v0,1.3.5,,,0,,,,,,,,,
django-hosts,v0,5.2,,,0,,,,,,,,,
django-http-compression,v1,1.1.0,3.10,,0,,,,,,,,,
django-ipware,v0,6.0.5,,,0,,,,,,,,,
django-jazzmin,v0,2.6.0,,,0,,,,,,,,,
django-jinja,v0,2.11.0,,,0,,,,,,,,,
django-json-ld,v0,0.0.5,,,0,,,,,,,,,
django-json-response,v0,1.1.5,,,0,,,,,,,,,
django-keyedcache3,v0,1.5.4,,,0,,,,,,,,,
django-lasuite,v1,0.0.26,3.10,,0,,,,,,,,,
django-libsass,v0,0.9,3.10,,0,,,,,,,,,
django-linear-migrations,v0,2.11.0,,,0,,,,,,,,,
django-livesettings3,v0,1.6.3,,,0,,,,,,,,,
django-log-request-id,v0,2.1.0,,,0,,,,,,,,,
django-log-viewer,v0,1.1.7,,,0,,,,,,,,,
django-loginas,v0,0.3.11,,,0,,,,,,,,,
django-logit,v0,1.1.4,,,0,,,,,,,,,
django-markdownify,v1,0.9.5,3.10,,0,,,,,,,,,
django-material,both,1.12.0,3.10,,0,,,,,,,,,
django-mcp,v1,0.3.1,3.10,,0,,,,,,,,,
django-mcp-server,v1,0.5.4,3.10,,0,,,,,,,,,
django-model-utils,v0,4.4.0,,,0,,,,,,,,,
django-modelcluster,v1,6.4.1,3.10,,0,,,,,,,,,
django-modeldict-yplan,v0,2.0.3,,,0,,,,,,,,,
django-moderation,v0,0.8.0,,,0,,,,,,,,,
django-mongodb-backend,both,5.2.2,3.10,,0,,,,,,,,,
django-mptt,v0,0.15.0,,,0,,,,,,,,,
django-mptt-admin,v0,2.5.1,,,0,,,,,,,,,
django-mptt-tree-editor,v0,0.1.2,,,0,,,,,,,,,
django-mptt2,v0,0.2.0,,,0,,,,,,,,,
django-multidb,v0,0.1.1,,,0,,,,,,,,,
django-multiselectfield,both,1.0.1,3.10,,0,,,,,,,,,
django-nextjs,v1,3.3.0,3.9,True,0,,,,,,,,,
django-nine,v0,0.2.7,,,0,,,,,,,,,
django-ninja,v0,0.21.0,,,0,,,,,,,,,
